Species	GeneralistType	K	Sigma2_s	g	Sigma2_G	P_migration	phenRangeDiff	N_0	N_mean	lifespan	areas	area_of_origin	area_of_extinction
1	3	1166.073	45987.77	1.305	0.017	1e-05	2.526	500	445.39464	25000		5	5
2	3	2605.458	20149.644	1.914	0.019	1e-04	3.817	98	1850.40416166467	24990	6,9,8,7,4,5	5	0
3	1	1176.044	29572.012	1.959	0.015	0.01	2.905	681	1098.91062971047	24281	6,7,5,4,8,9	6	0
4	3	2600.109	44166.152	1.529	0.019	0.01	0.234	217	4363.84271523179	23556	5,4,3,8,7,6,1,2,9	5	0
5	2	2422.452	13634.987	1.379	0.008	0.01	1.686	1046	1619.20402060907	21738	1,2	3	0
6	3	1822.708	7677.92	1.305	0.014	1e-04	3.557	869	773.04692848992	21032	2,1	3	0
7	2	2408.089	41744.689	1.421	0.008	1e-04	0.127	284	843.494964952118	20258	8,9	8	0
8	2	2236.933	25834.327	1.749	0.005	1e-04	3.152	816	63.3730437399679	19936		6	7
9	3	1307.175	25236.66	1.446	0.006	1e-04	4.768	683	563.126012782447	19871		2	2
10	2	1471.718	27219.814	1.845	0.011	1e-04	0.858	281	24.0601710287639	19295		5	6
11	2	3025.327	18388.274	1.904	0.011	1e-04	1.65	460	38.8568709554625	18389		5	5
12	1	1457.071	32566.701	1.755	0.006	1e-05	1.24	564	9.58826863134032	17645		4	4
13	1	1398.489	29564.713	1.301	0.019	1e-05	2.258	288	7.0097798112668	17485		4	4
14	3	1655.231	41484.971	1.126	0.015	0.01	1.97	466	2094.97492667778	17389	2,8,9,6,7,5,1	2	0
15	3	1140.812	12615.099	1.74	0.009	0.01	4.967	603	2215.65350288748	17143	2,5,6,4,7,8,9,1,3	1	0
16	2	1778.784	28254.432	1.303	0.015	1e-04	3.167	320	360.773974606518	17091	1,2	2	0
17	1	819.318	38499.105	1.52	0.014	1e-05	3.234	530	73.1060083283759	16810		6	6
18	1	3386.453	26851.506	1.226	0.008	1e-04	1.997	148	3.18046059733717	16674		5	5
19	2	1194.354	27291.421	1.817	0.007	1e-04	2.341	255	423.55159795072	16396	2,1	2	0
20	2	1574.937	5969.694	1.365	0.007	1e-04	3.513	78	652.865501008742	16357	2	1	0
21	3	3143.114	29278.18	1.123	0.019	0.01	3.786	341	2702.74511400651	15964	7,6,5,9,8,1,2	7	0
22	1	1332.94	25913.058	1.667	0.019	1e-04	1.906	259	3.05518237177475	15929		2	2
23	2	1278.35	9052.27	1.8	0.009	0.01	4.328	42	712.598700807265	15856	1,3,2	1	0
24	1	3741.911	23836.682	1.41	0.017	1e-05	2.966	133	5.98205093470604	14764		2	2
25	3	3774.566	38363.93	1.622	0.013	1e-04	1.922	252	570.905617483133	13636	8,7,9	8	0
26	3	3379.84	30799.889	1.799	0.006	1e-05	1.5	360	319.937020460358	12512	7	7	0
27	2	1216.701	18802.918	1.156	0.018	1e-04	3.896	347	4.29619521592551	12458		7	7
28	2	3585.11	7796.113	1.534	0.011	1e-04	4.571	398	308.187155368148	12332	2,1	1	0
29	3	371.747	31521.718	1.298	0.007	1e-04	4.712	188	305.734134995172	11393	8	9	0
30	1	1450.458	20356.952	1.225	0.015	1e-05	3.685	239	214.253333333333	11175	1	1	0
31	3	900.509	44902.351	1.299	0.017	1e-04	3.369	392	348.318157230436	11092	8	8	0
32	2	2133.856	32114.143	1.394	0.006	1e-05	2.094	245	30.9370403948826	9927		4	0
33	1	595.667	35742.186	1.249	0.018	1e-04	0.407	122	9.97248754152824	9632		3	0
34	3	1573.777	39270.375	1.224	0.019	1e-04	0.091	344	230.756561748405	9563		3	3
35	1	591.97	35595.32	1.131	0.018	1e-04	4.235	276	0.127601612727471	9177		4	4
36	1	2185.414	11800.71	1.194	0.017	1e-04	3.284	178	0.508632286995516	8920		2	2
37	1	1382.089	40259.141	1.761	0.007	1e-04	3.157	239	133.659554943794	8718	1	1	0
38	3	3746.791	36821.951	1.548	0.014	1e-04	0.703	15	338.448080173871	8282	1,2	1	0
39	3	3559.302	23128.005	1.108	0.012	1e-04	3.06	399	269.287392622537	7916	1	1	0
40	3	1244.554	11179.228	1.115	0.008	1e-04	4.503	70	108.148091211888	7806		6	6
41	2	2864.807	49628.879	1.142	0.015	1e-04	2.829	62	5.66455368693402	7730		5	5
42	3	2156.169	30295.851	1.603	0.014	1e-04	4.783	509	356.257292120157	6891	9,8	8	0
43	1	392.836	13728.686	1.753	0.019	1e-04	2.658	317	0.943072901539355	6886		3	3
44	3	3045.411	26370.172	1.404	0.017	0.01	1.59	280	3072.2535655307	6661	6,5,8,9,7,4,3,2,1	6	0
45	1	1840.872	28425.698	1.856	0.012	0.01	0.021	259	236.71178529755	5999	2,1	1	0
46	3	2773.207	34796.843	1.719	0.013	1e-04	3.904	253	511.887159533074	5911	5,6	6	0
47	2	2060.584	9511.082	1.2	0.008	1e-04	2.191	38	310.898049948683	5846	2,1	2	0
48	1	262.955	16105.957	1.917	0.012	1e-04	1	21	7.90965566205183	5634		4	4
49	2	609.235	19966.889	1.273	0.017	1e-04	1.138	169	207.822085889571	5216	1	1	0
50	2	1418.43	47994.492	1.296	0.02	1e-04	0.921	256	170.328742151104	4937		5	5
51	3	425.138	22906.9	1.786	0.02	1e-04	4.463	342	152.520323473079	4699	3,4	3	0
52	1	1368.675	21681.648	1.653	0.008	1e-04	1.296	261	75.7418630751964	4455		5	5
53	1	1988.577	21991.374	1.535	0.019	1e-04	1.835	88	47.6292262309961	4407		4	4
54	2	3688.375	20925.998	1.372	0.015	1e-04	1.151	266	446.532380952381	4200	8	8	0
55	3	1151.088	6469.372	1.343	0.008	1e-04	4.391	202	416.535304613816	3923	6	5	0
56	3	3186.548	20065.677	1.493	0.01	1e-04	0.469	213	263.983082209886	3783	9	9	0
57	3	1822.339	37722.632	1.949	0.019	1e-04	3.096	474	212.599823321555	3396	4,3	3	0
58	2	1126.956	33982.43	1.266	0.008	1e-04	3.993	104	2.62140913214394	3307		3	3
59	2	2502.87	13670.197	1.976	0.009	1e-04	4.511	537	37.3491196114147	3294		7	7
60	1	3395.833	45288.906	1.881	0.009	1e-04	2.359	24	106.902817347262	3159	9	9	0
61	2	1720.109	46029.752	1.123	0.014	1e-04	2.491	545	7.30569430569431	3003		4	4
62	1	3223.12	9501.994	1.295	0.009	1e-05	0.061	134	231.234475374732	2802	1	1	0
63	3	303.307	25034.341	1.894	0.006	1e-04	3.886	145	22.9880104908205	2669		1	1
64	2	3415.972	15128.262	1.537	0.013	1e-04	3.048	162	364.658227848101	2528	8,7	8	0
65	1	3306.18	19992.605	1.311	0.018	1e-04	4.517	237	169.883933096807	1973	1	1	0
66	1	691.189	47483.422	1.94	0.014	1e-04	3.963	422	18.7764636309876	1691		4	4
67	2	1351.996	38134.745	1.812	0.012	1e-04	1.655	458	138.066140776699	1648		5	5
68	3	2975.497	14052.045	1.432	0.009	1e-05	4.283	355	359.838624338624	1512	6	6	0
69	2	416.504	24422.089	1.894	0.006	1e-04	3.435	97	39.3011406844106	1315		3	3
70	2	2852.968	48951.148	1.452	0.006	1e-04	1.482	257	237.003581020591	1117		5	5
71	3	2415.478	16739.365	1.191	0.009	1e-04	1.882	174	38.7148217636023	1066		3	3
72	3	1305.666	40124.651	1.208	0.012	1e-04	1.177	202	385.123767798467	913	9	9	0
73	3	1800.781	16149.69	1.379	0.011	1e-04	4.01	50	233.440621531632	901		5	5
74	1	3719.441	14229.001	1.922	0.006	1e-05	2.033	93	57.5035161744023	711	2	2	0
75	3	1606.231	9353.622	1.85	0.007	0.01	1.026	330	609.518229166667	384	6,7,5,8,9,4	5	0
76	1	845.658	8878.743	1.493	0.019	1e-04	2.395	113	19.7513661202186	366		3	3
77	1	3339.377	47880.388	1.976	0.016	0.01	3.177	340	106.739837398374	246	8	7	0
78	2	1198.17	25192.956	1.706	0.012	1e-04	4.771	20	165.19689119171	193	7	7	0
